title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Fanciful Allegory of the Rincewind,Grandmaster of Guilds Brandon Thomas,Michael Brown,year -432 in the 8th month,9,The 12th year after Turtle Moves,year -313 in the 7th month,Tower of Art: middle shelve. 8m from the end,Population small society short prepare.
Enchanted Quest of the Disc,Supreme Archchancellor Stephanie Tran,Karen Miller,year -409 in the 8th month,2,The 7th year after Invisible College,unknown,Restricted Section: top shelve. 14m from the start,Bill apply follow especially.
Wondrous Illusion of the Rincewind,Supreme Archchancellor Jeremy Hardy,James Smith,year -031 in the 1st month,4,The 11th year after Klatchian Coffee,year 0032 in the 7th month,Tower of Art: middle shelve. 3m from the start,Alone fund world.
Frightening Journey of the Trolls,Eminent Thief Whitney Martinez,Michael Griffin,year 0675 in the 6th month,2,The 7th year after Librarian's Wrath,year 0711 in the 12th month,Tower of Art: middle shelve. 6m from the start,Against candidate range late.
Enigmatic Fantasy of the Golems,Grandmaster of Guilds Jason Stone MD,,,1,The 5th year after Cabbage,year 0412 in the 5th month,Restricted Section: middle shelve. 6m from the start,Ten despite set media.
Illustrious Folklore of Magic,Foremost Patrician Kathryn Nixon,,,6,The 11th year after Mended Drum,unknown,Restricted Section: top shelve. 10m from the start,Rate rise yourself miss recent yard.
Perilous Myth of the Counterweight Continent,Chief Scrivener Michael Reyes,,,42,The 9th year after Seamstress's Guild,year 0608 in the 7th month,Mended Drum: bottom shelve. 3m from the start,Play fine different.
Astounding Tale of the Unseen University,Mastermagician Elizabeth Johnston,Lisa Johnson,year 0299 in the 7th month,4,The 1st year after Lancre Coven,year 0730 in the 9th month,Restricted Section: middle shelve. 14m from the end,Society we finally baby seem television.
Astounding Yarn of the Wizards,Senior Guildmaster Michael Williams,Thomas Hamilton,year -188 in the 8th month,42,The 1st year after Wizzard's Hat,year 0983 in the 8th month,Tower of Art: bottom shelve. 12m from the start,Lawyer next artist listen financial and.
Comical Epic of the Trolls,Principal Witch Juan Patel,,,3,The 13th year after Luggage,year -465 in the 7th month,Mended Drum: middle shelve. 8m from the start,Trouble although special mind treat surface someone.
Incredible Myth of the Rincewind,Imperial Assassin Grant Murphy,,,3,The year of Amazing Maurice,year 0118 in the 7th month,Tower of Art: top shelve. 8m from the end,Push staff environmental lose street child.
Spectacular Escapade of the Librarian,Lead Alchemist Jeffrey Hines,,,3,The 2nd year after Topsy-Turvy Times,year 0904 in the 9th month,Dungeon Dimensions: bottom shelve. 4m from the start,List magazine alone more.
Ludicrous Adventure of the City Watch,Sandra Pacheco,,,9,The 2nd year after Talking Dog,year -116 in the 7th month,Mended Drum: middle shelve. 7m from the end,Network again to result outside.
Enigmatic Quest of the Lancre,Laura Hayden,,,9,The 12th year after Silver Horde,year 0958 in the 7th month,Mended Drum: bottom shelve. 2m from the end,Study create mean old else itself stock skill.
Peculiar Fable in Ankh-Morpork,Principal Witch Wayne Doyle,,,3,The 5th year after Howondaland Expedition,year 0821 in the 9th month,Great Hall: bottom shelve. 7m from the start,Along firm talk put personal.
Ludicrous Chronicle of the Dungeon Dimensions,High Wizard of Unseen Shawn Allen,Christopher Johnson,year 0310 in the 6th month,0,The 7th year after Prawn,year 0772 in the 7th month,Great Hall: top shelve. 11m from the end,Alone third fish food account grow.
Frightening Mystery of the Patrician,Professor Timothy Stewart,,,4,The 3rd year after Lancre Coven,year -283 in the 7th month,Dungeon Dimensions: bottom shelve. 11m from the end,Answer learn generation say determine.
Comical Yarn of the Clacks,High Wizard of Unseen Billy Silva,Patrick Phillips,year 0018 in the 8th month,4,The 8th year after Talking Dog,year 0288 in the 9th month,Dungeon Dimensions: middle shelve. 5m from the start,South must throw.
Peculiar Romance of the Unseen University,Foremost Patrician Mrs. Heather Duran MD,,,7,The 8th year after Topsy-Turvy Times,year 0476 in the 9th month,Great Hall: middle shelve. 10m from the end,Off contain three particularly.
Illustrious Episode of Magic,Chief Scrivener Mariah Luna,,,42,The 14th year after Guild Wars,year 0950 in the 7th month,Mended Drum: bottom shelve. 4m from the start,Must degree authority answer try person ground.
Wondrous Furlough of the Nac Mac Feegle,Imperial Assassin Cassandra Harris,Scott Ruiz,year -405 in the 3rd month,0,The 4th year after Crystal Goblins,year -344 in the 4th month,Tower of Art: top shelve. 1m from the start,Physical none eat stage along project car.
Illustrious Odyssey of the Counterweight Continent,Penny Gill,,,1,The 12th year after Luggage,year -324 in the 2nd month,Mended Drum: bottom shelve. 13m from the end,Executive provide upon national recognize.
Enchanted Furlough of Magic,Lead Alchemist Michael Walker,,,6,The 14th year after Talking Dog,year -292 in the 8th month,Restricted Section: top shelve. 9m from the end,It opportunity director whole life.
Curious Chronicle of the Rincewind,Supreme Archchancellor Tracy Murphy,,,1,The 3rd year after Librarian's Wrath,year 0849 in the 7th month,Restricted Section: bottom shelve. 4m from the start,Woman sign not test American.
Enchanted Yarn in Ankh-Morpork,High Wizard of Unseen Alice Morgan,,,7,The 13th year after Librarian's Wrath,year -053 in the 2nd month,Restricted Section: top shelve. 8m from the end,Bed such piece enter.
Phantasmal Episode of the Disc,Supreme Archchancellor Christopher Green,Dana Lin,year -027 in the 7th month,6,The 1st year after Opera House Ghost,year 0470 in the 7th month,Dungeon Dimensions: bottom shelve. 14m from the end,Prepare always agree nearly sing boy.
Mysterious Epic of the Wizards,Grandmaster of Guilds Spencer King,Tanya Smith,year -181 in the 5th month,0,The 13th year after Imp-powered Devices,year -146 in the 2nd month,Great Hall: bottom shelve. 4m from the start,Site thing data sense have item.
Remarkable Conundrum of Magic,Chief Scrivener Courtney Leonard,,,6,The 13th year after Hogswatch Miracle,year -035 in the 2nd month,Dungeon Dimensions: top shelve. 14m from the end,Fine simple go parent focus.
Bizarre Adventure of the City Watch,Lead Alchemist Sheri Chan,,,9,The 9th year after Seamstress's Secrets,year 0669 in the 7th month,Tower of Art: top shelve. 1m from the start,Offer share defense wall future face.
Bizarre Episode of the Clacks,Kelsey Avila,,,0,The 7th year after Silver Horde,year 0618 in the 10th month,Dungeon Dimensions: bottom shelve. 4m from the start,Decision break local service beautiful.
Improbable Epic of the Trolls,Senior Guildmaster Kenneth King,,,3,The year of Howondaland Expedition,year 0347 in the 7th month,Great Hall: bottom shelve. 4m from the end,Stop under understand professional any partner respond.
Astounding Saga of the Clacks,Foremost Patrician Martin Griffith,,,4,The 7th year after Invisible College,year 0703 in the 6th month,Restricted Section: bottom shelve. 5m from the start,Hospital city since attention our.
Enigmatic Saga of the Death,Imperial Assassin Jacob Levine,Brandon Ford,year -452 in the 10th month,42,The 11th year after Hogswatch Miracle,year 0669 in the 9th month,Restricted Section: middle shelve. 6m from the end,Program decision business strong begin business past approach.
Unbelievable Revelation of the Clacks,Eminent Thief James George,,,1,The 1st year after Sentient Luggage,year 0212 in the 11th month,Tower of Art: middle shelve. 5m from the end,Girl manager last note.
Dreadful Yarn of the Clacks,Lead Alchemist Clinton Vance,,,7,The 13th year after Seamstress's Secrets,year -216 in the 12th month,Mended Drum: middle shelve. 1m from the end,Say final never without affect.
Stupendous Saga of the Librarian,Professor Amber Schultz,James Jordan,year -038 in the 12th month,42,The 1st year after Lancre Coven,year 0417 in the 11th month,Mended Drum: top shelve. 2m from the start,Brother check next challenge hair information because.
Delightful Escapade of the Death,Lead Alchemist Thomas Peterson,,,2,The 12th year after Squid,year 0467 in the 3rd month,Dungeon Dimensions: top shelve. 4m from the end,Tree kind speech social white else wait.
Improbable Revelation of the Patrician,High Wizard of Unseen Justin Mason,Sarah Brooks,year -182 in the 7th month,3,The 10th year after Talking Dog,year 0936 in the 2nd month,Dungeon Dimensions: middle shelve. 10m from the end,White focus expert part free.
Eccentric Tale of Magic,Grandmaster of Guilds James Perez,,,7,The 12th year after Fruitbat,year -269 in the 7th month,Tower of Art: bottom shelve. 5m from the start,There movie position door.
Wondrous Saga of the Unseen University,Cheryl Jones,,,7,The year of Bursar's Sanity,year -174 in the 6th month,Restricted Section: bottom shelve. 14m from the start,Than begin nation produce.
Hilarious Odyssey of the Witches,Janet Barton,,,4,The 14th year after Hogswatch Miracle,year 0879 in the 6th month,Dungeon Dimensions: top shelve. 13m from the start,Pretty best able religious imagine always history sometimes.
Amazing Adventure in Ankh-Morpork,Mastermagician Natalie Perez,,,0,The 14th year after Magic Bananas,year 0971 in the 8th month,Dungeon Dimensions: middle shelve. 13m from the start,Answer set guy least.
Mysterious Allegory of the Lancre,Professor Hayley Martinez,Kimberly Johnson,year 0777 in the 6th month,7,The 2nd year after Squid,year 0815 in the 6th month,Mended Drum: middle shelve. 9m from the end,Century end room less board professional.
Bewitching Adventure of the Witches,Imperial Assassin Paul Grant,,,8,The 3rd year after Turtle Moves,year 0895 in the 11th month,Dungeon Dimensions: middle shelve. 1m from the end,Board news class they.
Illustrious Escapade of the Rincewind,Foremost Patrician Ann Cross,Jamie Thompson DDS,year -469 in the 12th month,3,The 7th year after Opera House Ghost,year -169 in the 1st month,Restricted Section: bottom shelve. 12m from the end,Expert simple different their thus nation statement industry.
Ridiculous Recital of the Trolls,Principal Witch Ms. Amanda Gutierrez MD,,,5,The 13th year after Hedgehog,year 0727 in the 3rd month,Restricted Section: middle shelve. 12m from the start,Speech just young rich hope contain determine.
Hilarious Epic of Magic,Eminent Thief Amanda Patton,,,7,The 1st year after Golem Uprising,year -256 in the 2nd month,Dungeon Dimensions: bottom shelve. 11m from the start,Several kind gas level force increase.
Frightening Adventure of the Rincewind,Mastermagician Christopher Watson,Tyler Huff,year -083 in the 7th month,3,The 6th year after Luggage,year -005 in the 7th month,Mended Drum: top shelve. 15m from the end,Challenge many science civil.
Ludicrous Revelation of the Rincewind,Mastermagician Jeremiah Robinson,Nicole Hill,year -303 in the 12th month,9,The 5th year after Prawn,year 0042 in the 8th month,Restricted Section: middle shelve. 6m from the start,Career member national.
Peculiar Legend of the Disc,Chief Scrivener April Walker,Megan Vasquez,year -486 in the 7th month,1,The 3rd year after Crystal Goblins,year -047 in the 10th month,Mended Drum: bottom shelve. 12m from the start,Already reason middle reach upon large perhaps.
Enchanted Chronicle of the Dungeon Dimensions,Senior Guildmaster Melvin Alvarado II,Elizabeth Woods,year -392 in the 5th month,2,The 2nd year after Magic Bananas,year 0179 in the 9th month,Restricted Section: middle shelve. 8m from the start,Relate today heart end let senior.
Enigmatic Episode of the Wizards,Jason Hogan,,,42,The 13th year after Bursar's Sanity,year -206 in the 3rd month,Mended Drum: bottom shelve. 8m from the end,Cup anything direction plant.
Illustrious Escapade of the Nac Mac Feegle,Foremost Patrician Brittney Quinn,Connor Robertson,year -081 in the 8th month,2,The 14th year after Amazing Maurice,unknown,Dungeon Dimensions: middle shelve. 9m from the end,Break energy room than.
Bizarre Narrative of the Golems,Supreme Archchancellor Jenna Martin,Tammy Villarreal,year -452 in the 12th month,6,The 2nd year after Talking Dog,year -370 in the 7th month,Dungeon Dimensions: bottom shelve. 3m from the end,Think quality capital only series have suggest.
Remarkable Mystery of the Clacks,Tiffany Alexander,Ms. Kelly Martinez,year -476 in the 1st month,1,The 5th year after Howondaland Expedition,year 0373 in the 7th month,Great Hall: top shelve. 5m from the end,Treatment executive send from miss various.
Enchanted Adventure of the Librarian,Principal Witch Jessica Martin,,,3,The 3rd year after Fruitbat,year -234 in the 7th month,Tower of Art: top shelve. 7m from the end,Song Mrs entire sea.
Eccentric Illusion of the Golems,Shannon Kim,Karen Price,year -418 in the 7th month,6,The 10th year after Guild Wars,year 0834 in the 8th month,Mended Drum: top shelve. 3m from the end,Audience discover nature certain woman market lawyer.
Fanciful Exploit of the Counterweight Continent,Chief Scrivener Wendy Johnson,,,5,The 1st year after Mended Drum,year 0635 in the 1st month,Mended Drum: top shelve. 11m from the end,Serve research successful data.
Wondrous Narrative of the Dungeon Dimensions,Lead Alchemist Ricky Guerrero,Kimberly Brown,year -468 in the 2nd month,4,The 6th year after Tin Trunk,year -326 in the 1st month,Great Hall: bottom shelve. 6m from the start,More alone place still.
Comical Quest of the Death,Matthew Davis,,,7,The 14th year after Knurd,year 0589 in the 11th month,Mended Drum: top shelve. 14m from the end,Poor friend able over need dinner draw.
